Variable,Overall,Cardiac complication (n=424),No cardiac complication (n=54877),p-value
"Total encounters, n","55,301",424,"54,877",
"Age, median (IQR)",56 (40–68),61 (47–67),56 (40–68),0.004
"Male sex, n (%)","28,688 (51.9%)",266 (62.7%),"28,422 (51.8%)",<0.001
"ASA class, median (IQR)",3 (2–3),3 (3–4),3 (2–3),<0.001
"Operative duration (min), median (IQR)",164 (102–258),152 (98–252),164 (102–258),0.343
"Hypertension, n (%)","12,290 (22.2%)",143 (33.7%),"12,147 (22.1%)",<0.001
"Diabetes mellitus, n (%)","4,772 (8.6%)",75 (17.7%),"4,697 (8.6%)",<0.001
"Congestive heart failure, n (%)","2,220 (4.0%)",76 (17.9%),"2,144 (3.9%)",<0.001
"Coronary artery disease, n (%)","2,254 (4.1%)",42 (9.9%),"2,212 (4.0%)",<0.001
"COPD, n (%)",652 (1.2%),6 (1.4%),646 (1.2%),0.821
"Chronic kidney disease, n (%)","4,645 (8.4%)",73 (17.2%),"4,572 (8.3%)",<0.001
"Prior myocardial infarction, n (%)",899 (1.6%),38 (9.0%),861 (1.6%),<0.001
"Atrial fibrillation, n (%)","2,294 (4.1%)",76 (17.9%),"2,218 (4.0%)",<0.001
"Cerebrovascular disease, n (%)","1,171 (2.1%)",18 (4.2%),"1,153 (2.1%)",0.004
"Peripheral vascular disease, n (%)","1,929 (3.5%)",42 (9.9%),"1,887 (3.4%)",<0.001
"HR mean (bpm), median (IQR)",76.9 (69.1–86.3),83.6 (74.3–95.6),76.9 (69.0–86.3),<0.001
"HR SD, median (IQR)",8.3 (6.1–10.8),9.0 (6.2–13.3),8.3 (6.1–10.8),<0.001
"SpO2 minimum (%), median (IQR)",95.0 (91.0–97.0),93.0 (83.0–97.0),95.0 (91.0–97.0),<0.001
"ICU admission, n (%)","24,132 (43.6%)",349 (82.3%),"23,783 (43.3%)",<0.001
